Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
127,4,NSF,A,Spatial,5,Pool,5.1,1.549,0.302,0.551,0.0,0.000,4.0,1.204,1.1,0.345,0.0,0.000,1,5.1,4.0,0.542,1.85
128,4,NSF,A,Spatial,6,Pool,9.2,3.499,0.381,0.288,0.0,0.000,0.0,0.000,7.2,2.689,2.0,0.810,1,9.2,5.4,0.260,1.31
129,5,NSF,A,Spatial,5,Pool,2.0,0.619,0.316,0.894,0.0,0.000,0.0,0.000,2.0,0.619,0.0,0.000,1,2.0,1.4,0.808,0.13
130,5,NSF,A,Spatial,6,Pool,3.7,1.459,0.397,0.678,1.3,0.619,1.5,0.576,0.8,0.263,0.0,0.000,1,3.7,2.8,0.671,1.13
131,6,NSF,A,Spatial,5,Pool,7.5,2.516,0.336,0.163,0.0,0.000,1.7,0.732,5.7,1.783,0.0,0.000,1,7.5,3.3,0.157,2.27
132,6,NSF,A,Spatial,6,Pool,6.3,2.592,0.408,0.259,4.0,1.730,0.0,0.000,0.7,0.248,1.6,0.614,1,6.3,3.6,0.256,3.63
133,7,NSF,A,Spatial,5,Pool,53.1,16.868,0.317,0.063,7.5,2.692,17.5,5.533,21.3,6.297,6.8,2.346,1,53.1,27.6,0.058,27.33
134,7,NSF,A,Spatial,6,Pool,2.0,0.567,0.291,0.874,0.0,0.000,0.0,0.000,1.9,0.567,0.0,0.000,1,1.9,1.2,0.677,0.10
135,8,NSF,A,Spatial,5,Pool,32.1,10.922,0.340,0.094,11.8,4.032,6.9,2.492,6.8,2.189,6.5,2.208,1,32.1,17.6,0.082,21.17
136,8,NSF,A,Spatial,6,Pool,5.8,1.980,0.343,0.260,0.0,0.000,0.0,0.000,5.3,1.842,0.4,0.138,1,5.7,2.9,0.241,1.12
137,9,NSF,A,Spatial,5,Pool,7.6,2.825,0.371,0.306,0.8,0.263,0.0,0.000,2.8,1.105,4.0,1.457,1,7.6,4.9,0.272,2.32
138,9,NSF,A,Spatial,6,Pool,1.4,0.397,0.292,0.849,0.0,0.000,0.6,0.119,0.8,0.278,0.0,0.000,1,1.3,0.9,0.825,0.07
139,10,NSF,A,Spatial,5,Pool,50.7,16.223,0.320,0.066,11.3,3.641,15.9,5.451,16.3,5.117,7.2,2.014,1,50.7,26.7,0.064,29.32
140,10,NSF,A,Spatial,6,Pool,3.3,1.094,0.336,0.592,0.0,0.000,2.2,0.799,1.1,0.295,0.0,0.000,1,3.2,2.4,0.578,0.62
141,11,NSF,A,Spatial,5,Pool,27.7,6.535,0.236,0.183,14.2,3.233,10.4,2.184,0.9,0.296,2.1,0.823,1,27.7,14.8,0.181,23.37
142,11,NSF,A,Spatial,6,Pool,3.6,1.274,0.352,0.568,0.0,0.000,0.0,0.000,2.8,1.058,0.8,0.216,1,3.6,2.8,0.461,0.65
143,12,NSF,A,Spatial,5,Pool,33.4,12.938,0.387,0.054,5.3,1.878,5.5,2.040,11.7,4.688,10.9,4.332,1,33.4,16.1,0.050,16.57
144,12,NSF,A,Spatial,6,Pool,3.7,1.501,0.405,0.865,1.6,0.629,0.0,0.000,1.1,0.345,1.1,0.527,1,3.7,3.3,0.796,0.40
145,13,NSF,A,Spatial,5,Pool,25.5,8.069,0.316,0.143,2.2,0.696,1.1,0.386,9.1,2.855,13.2,4.132,1,25.5,14.6,0.123,10.72
146,13,NSF,A,Spatial,6,Pool,17.7,5.286,0.299,0.175,3.2,0.960,7.0,2.055,4.5,1.263,2.9,1.008,1,17.7,9.1,0.147,8.82
147,14,NSF,A,Spatial,5,Pool,6.1,1.971,0.324,0.468,0.6,0.113,0.0,0.000,3.7,1.224,1.7,0.635,1,6.1,4.0,0.438,0.98
148,14,NSF,A,Spatial,6,Pool,1.6,0.376,0.239,0.981,0.0,0.000,0.0,0.000,1.1,0.318,0.5,0.057,1,1.6,1.1,0.929,0.03
